cardmarketId,quantity,name,set,setCode,cn,condition,language,isFirstEd,isReverseHolo,isSigned,finishType,price,comment,location,nameDE,nameES,nameFR,nameIT,rarity,listedAt,countryEdition
805496,1,Bug Catching Set,Prismatic Evolutions,PRE,102,NM,Italian,,true,,ReverseHolo,1000,,FUOCOBOMBA 006 - 16,Käfersammlerset,Kit Capturabichos,Kit Attrape-Insecte,Set Pigliamosche,Uncommon,07-09-2026 20:35:03,
805496,1,Bug Catching Set,Prismatic Evolutions,PRE,102,EX,Italian,,,,Regular,1000,,FUOCOBOMBA 006 - 16,Käfersammlerset,Kit Capturabichos,Kit Attrape-Insecte,Set Pigliamosche,Uncommon,07-09-2026 20:35:10,
805497,1,Carmine,Prismatic Evolutions,PRE,103,EX,Italian,,,,Regular,1000,,FUOCOBOMBA 006 - 16,Hana,Corin,Roseille,Rubra,Uncommon,07-09-2026 19:46:04,
805497,1,Carmine,Prismatic Evolutions,PRE,103,NM,Italian,,true,,ReverseHolo,1000,,FUOCOBOMBA 006 - 16,Hana,Corin,Roseille,Rubra,Uncommon,07-09-2026 19:46:17,
825882,3,Cynthia's Roserade,Destined Rivals,DRI,008,NM,Italian,,,,Regular,0.5,,FUOCOBOMBA 006 - 16,Cynthias Roserade [Cheer On to Glory | Leaf Step],Roserade de Cintia [Cheer On to Glory | Leaf Step],Roserade de Cynthia [Cheer On to Glory | Leaf Step],Roserade di Camilla [Cheer On to Glory | Leaf Step],Rare,07-09-2026 19:49:00,
825882,1,Cynthia's Roserade,Destined Rivals,DRI,008,NM,Italian,,true,,ReverseHolo,0.5,,FUOCOBOMBA 006 - 16,Cynthias Roserade [Cheer On to Glory | Leaf Step],Roserade de Cintia [Cheer On to Glory | Leaf Step],Roserade de Cynthia [Cheer On to Glory | Leaf Step],Roserade di Camilla [Cheer On to Glory | Leaf Step],Rare,07-09-2026 19:58:30,
794516,1,Eevee,Standard Series Promos,SSP,143,EX,Italian,,true,,ReverseHolo,1000,,FUOCOBOMBA 006 - 16,Evoli [Boosted Evolution | Reckless Charge],Eevee [Boosted Evolution | Reckless Charge],Évoli [Boosted Evolution | Reckless Charge],Eevee [Boosted Evolution | Reckless Charge],Common,07-09-2026 19:37:56,
751617,1,Electric Generator,Paldean Fates,PAF,079,EX,Italian,,,,Regular,1000,,FUOCOBOMBA 006 - 16,Elektrischer Generator,Generador Eléctrico,Générateur Électrique,Generatore di Elettricità,Uncommon,07-09-2026 21:07:57,
826038,1,Energy Recycler,Destined Rivals,DRI,164,NM,Italian,,true,,ReverseHolo,0.3,,FUOCOBOMBA 006 - 16,Energieaufbereitung,Reciclaje de Energía,Recycleur d'Énergie,Riciclaggio di Energia,Uncommon,07-09-2026 19:38:40,
279830,1,Energy Retrieval,Black & White,BLW,92,EX,Italian,,,,Regular,0.3,,FUOCOBOMBA 006 - 16,Energie-Zugewinn,Recuperación de Energía,Récupération d'Énergie,Recupero di Energia,Uncommon,07-09-2026 19:44:23,
279830,1,Energy Retrieval,Black & White,BLW,92,PL,Italian,,,,Regular,0.3,,FUOCOBOMBA 006 - 16,Energie-Zugewinn,Recuperación de Energía,Récupération d'Énergie,Recupero di Energia,Uncommon,07-09-2026 19:44:29,
302196,1,Energy Retrieval,Shining Legends,SLG,59,GD,English,,,,Regular,1000,,FUOCOBOMBA 006 - 16,Energie-Zugewinn,Recuperación de Energía,Récupération d'Énergie,Recupero di Energia,Uncommon,07-09-2026 19:44:46,
297576,1,Enhanced Hammer,Guardians Rising,GRI,124,PO,Italian,,,,Regular,1000,,FUOCOBOMBA 006 - 16,Spezial-Hammer,Martillo Mejorado,Maillet Amélioré,Supermartello,Uncommon,07-09-2026 20:47:22,
825913,5,Ethan's Ho-Oh ex,Destined Rivals,DRI,039,NM,Italian,,,,Regular,1,,FUOCOBOMBA 006 - 16,Klarins Ho-Oh ex [Golden Flame | Shining Feathers],Ho-Oh ex de Eco [Golden Flame | Shining Feathers],Ho-Oh ex de Luth [Golden Flame | Shining Feathers],Ho-Oh ex di Armonio [Golden Flame | Shining Feathers],Double Rare,07-09-2026 19:36:01,
825909,7,Ethan's Slugma,Destined Rivals,DRI,035,NM,Italian,,,,Regular,0.2,,FUOCOBOMBA 006 - 16,Klarins Schneckmag [Steady Firebreathing],Slugma de Eco [Steady Firebreathing],Limagma de Luth [Steady Firebreathing],Slugma di Armonio [Steady Firebreathing],Common,07-09-2026 21:07:40,
702382,3,Gardevoir ex,Scarlet & Violet,SVI,086,NM,English,,,,Regular,1000,,FUOCOBOMBA 006 - 16,Guardevoir ex [Psychic Embrace | Miracle Force],Gardevoir ex [Psychic Embrace | Miracle Force],Gardevoir ex [Psychic Embrace | Miracle Force],Gardevoir ex [Psychic Embrace | Miracle Force],Double Rare,07-09-2026 19:45:22,
745699,1,Ho-Oh ex,Pokémon Trading Card Game Classic: Charizard & Ho-Oh ex Deck,CLC,007,EX,English,,,,Regular,1000,,FUOCOBOMBA 006 - 16,Ho-Oh ex [Phoenix Breath | Eternal Blaze],Ho-Oh ex [Phoenix Breath | Eternal Blaze],Ho-Oh ex [Phoenix Breath | Eternal Blaze],Ho-Oh ex [Phoenix Breath | Eternal Blaze],Fixed,07-09-2026 20:41:50,
740547,1,Iron Bundle,Paradox Rift,PAR,056,EX,Italian,,,,Regular,1000,,FUOCOBOMBA 006 - 16,Eisenbündel [Hyper Blower | Refrigerated Stream],Ferrosaco [Hyper Blower | Refrigerated Stream],Hotte-de-Fer [Hyper Blower | Refrigerated Stream],Saccoferreo [Hyper Blower | Refrigerated Stream],Uncommon,07-09-2026 21:09:23,
740409,1,Iron Valiant ex,SV Black Star Promos,SVP,068,NM,Italian,,,,Regular,0.5,,FUOCOBOMBA 006 - 16,Eisenkrieger ex [Tachyon Bits | Laser Blade],Ferropaladín ex [Tachyon Bits | Laser Blade],Garde-de-Fer ex [Tachyon Bits | Laser Blade],Eroeferreo ex [Tachyon Bits | Laser Blade],Promo,07-09-2026 19:36:41,
745675,1,Lugia ex,Pokémon Trading Card Game Classic: Venusaur & Lugia ex Deck,CLV,017,NM,English,,,,Regular,1000,,FUOCOBOMBA 006 - 16,Lugia ex [Rising Wind | Aero Break],Lugia ex [Rising Wind | Aero Break],Lugia ex [Rising Wind | Aero Break],Lugia ex [Rising Wind | Aero Break],Fixed,07-09-2026 19:43:46,
825923,1,Misty's Gyarados,Destined Rivals,DRI,049,NM,Italian,,true,,ReverseHolo,1000,,FUOCOBOMBA 006 - 16,Mistys Garados [Splashing Panic | Waterfall],Gyarados de Misty [Splashing Panic | Waterfall],Léviator de Ondine [Splashing Panic | Waterfall],Gyarados di Misty [Splashing Panic | Waterfall],Rare,07-09-2026 19:47:36,
825923,1,Misty's Gyarados,Destined Rivals,DRI,049,NM,Italian,,,,Regular,1000,,FUOCOBOMBA 006 - 16,Mistys Garados [Splashing Panic | Waterfall],Gyarados de Misty [Splashing Panic | Waterfall],Léviator de Ondine [Splashing Panic | Waterfall],Gyarados di Misty [Splashing Panic | Waterfall],Rare,07-09-2026 19:48:25,
825922,3,Misty's Magikarp,Destined Rivals,DRI,048,EX,Italian,,,,Regular,1000,,FUOCOBOMBA 006 - 16,Mistys Karpador [So Submerged | Splash],Magikarp de Misty [So Submerged | Splash],Magicarpe de Ondine [So Submerged | Splash],Magikarp di Misty [So Submerged | Splash],Common,07-09-2026 19:43:00,
825919,5,Misty's Psyduck,Destined Rivals,DRI,045,NM,Italian,,,,Regular,0.3,,FUOCOBOMBA 006 - 16,Mistys Enton [Flustered Leap | Sprinkle Water],Psyduck de Misty [Flustered Leap | Sprinkle Water],Psykokwak de Ondine [Flustered Leap | Sprinkle Water],Psyduck di Misty [Flustered Leap | Sprinkle Water],Uncommon,07-09-2026 21:01:54,
780957,1,Night Stretcher,Shrouded Fable,SFA,061,NM,Italian,,,,Regular,1000,,FUOCOBOMBA 006 - 16,Nachttrage,Camilla Nocturna,Civière Nocturne,Barella Notturna,Uncommon,07-09-2026 21:08:43,
780957,1,Night Stretcher,Shrouded Fable,SFA,061,NM,English,,,,Regular,1000,,FUOCOBOMBA 006 - 16,Nachttrage,Camilla Nocturna,Civière Nocturne,Barella Notturna,Uncommon,07-09-2026 21:08:57,
760786,1,Perilous Jungle,Temporal Forces,TEF,156,NM,Italian,,,,Regular,1000,,FUOCOBOMBA 006 - 16,Gefährlicher Dschungel,Selva Peligrosa,Jungle Périlleuse,Giungla Pericolosa,Uncommon,07-09-2026 19:48:35,
691857,2,Pokémon Catcher,Crown Zenith,CRZ,138,GD,English,,,,Regular,1000,,FUOCOBOMBA 006 - 16,Pokémon-Fänger,Capturapokémon,Attrape-Pokémon,Acchiappa-Pokémon,Uncommon,07-09-2026 21:06:06,
691737,1,Radiant Charizard,Crown Zenith,CRZ,020,EX,English,,,,Regular,1000,,FUOCOBOMBA 006 - 16,Strahlendes Glurak [Excited Heart | Combustion Blast],Charizard Radiante [Excited Heart | Combustion Blast],Dracaufeu Radieux [Excited Heart | Combustion Blast],Charizard Lucente [Excited Heart | Combustion Blast],Ultra Rare,07-09-2026 19:39:27,
670813,1,Radiant Gardevoir,Lost Origin,LOR,069,NM,Italian,,,,Regular,1000,,FUOCOBOMBA 006 - 16,Strahlendes Guardevoir [Loving Veil | Psychic],Gardevoir Radiante [Loving Veil | Psychic],Gardevoir Radieux [Loving Veil | Psychic],Gardevoir Lucente [Loving Veil | Psychic],Ultra Rare,07-09-2026 19:38:16,
751628,2,Rare Candy,Paldean Fates,PAF,089,NM,Italian,,,,Regular,1000,,FUOCOBOMBA 006 - 16,Sonderbonbon,Caramelo Raro,Super Bonbon,Caramella Rara,Common,07-09-2026 19:40:49,
751628,3,Rare Candy,Paldean Fates,PAF,089,EX,Italian,,,,Regular,1000,,FUOCOBOMBA 006 - 16,Sonderbonbon,Caramelo Raro,Super Bonbon,Caramella Rara,Common,07-09-2026 19:40:57,
691860,2,Rare Candy,Crown Zenith,CRZ,141,GD,English,,,,Regular,1000,,FUOCOBOMBA 006 - 16,Sonderbonbon,Caramelo Raro,Super Bonbon,Caramella Rara,Uncommon,07-09-2026 19:42:04,
760789,2,Rescue Board,Temporal Forces,TEF,159,NM,Italian,,true,,ReverseHolo,1000,,FUOCOBOMBA 006 - 16,Rettungsboard,Monopatín de Rescate,Planche de Sauvetage,Skateboard di Salvataggio,Uncommon,07-09-2026 21:09:52,
805431,1,Scream Tail,Prismatic Evolutions,PRE,042,NM,Italian,,true,,ReverseHolo,1000,,FUOCOBOMBA 006 - 16,Brüllschweif [Slap | Roaring Scream],Colagrito [Slap | Roaring Scream],Hurle-Queue [Slap | Roaring Scream],Codaurlante [Slap | Roaring Scream],Uncommon,07-09-2026 21:10:35,
785912,4,Slowking,Stellar Crown,SCR,058,NM,Italian,,,,Regular,1000,,FUOCOBOMBA 006 - 16,Laschoking [Seek Inspiration | Super Psy Bolt],Slowking [Seek Inspiration | Super Psy Bolt],Roigada [Seek Inspiration | Super Psy Bolt],Slowking [Seek Inspiration | Super Psy Bolt],Uncommon,07-09-2026 20:45:48,
805523,1,Sparkling Crystal,Prismatic Evolutions,PRE,129,EX,Italian,,,,Regular,1000,,FUOCOBOMBA 006 - 16,Funkelnder Kristall,Cristal Brillante,Cristal Scintillant,Cristallo Scintillante,ACE Rare,07-09-2026 21:09:37,
745736,1,Suicune ex,Commander Legends: Battle for Baldur's Gate,CLB,010,NM,English,,,,Regular,1000,,FUOCOBOMBA 006 - 16,Suicune ex [Aqua Lift | Crystal Blast],Suicune ex [Aqua Lift | Crystal Blast],Suicune ex [Aqua Lift | Crystal Blast],Suicune ex [Aqua Lift | Crystal Blast],Fixed,07-09-2026 19:42:32,
825925,2,Team Rocket's Articuno,Destined Rivals,DRI,051,NM,Italian,,,,Regular,1000,,FUOCOBOMBA 006 - 16,Team Rockets Arktos [Repelling Veil | Dark Frost],Articuno del Team Rocket [Repelling Veil | Dark Frost],Artikodin de la Team Rocket [Repelling Veil | Dark Frost],Articuno del Team Rocket [Repelling Veil | Dark Frost],Rare,07-09-2026 20:45:27,
825955,1,Team Rocket's Mewtwo ex,Destined Rivals,DRI,081,EX,Italian,,,,Regular,1000,,FUOCOBOMBA 006 - 16,Team Rockets Mewtu ex [Power Saver | Erasure Ball],Mewtwo ex del Team Rocket [Power Saver | Erasure Ball],Mewtwo ex de la Team Rocket [Power Saver | Erasure Ball],Mewtwo ex del Team Rocket [Power Saver | Erasure Ball],Double Rare,07-09-2026 19:40:13,
825904,2,Team Rocket's Moltres ex,Destined Rivals,DRI,031,NM,Italian,,,,Regular,1,,FUOCOBOMBA 006 - 16,Team Rockets Lavados ex [Flame Screen | Evil Incineration],Moltres ex del Team Rocket [Flame Screen | Evil Incineration],Sulfura ex de la Team Rocket [Flame Screen | Evil Incineration],Moltres ex del Team Rocket [Flame Screen | Evil Incineration],Double Rare,07-09-2026 19:37:23,
826053,2,Team Rocket's Venture Bomb,Destined Rivals,DRI,179,NM,Italian,,,,Regular,0.3,,FUOCOBOMBA 006 - 16,Team Rockets Wagnisbombe,Bomba Arriesgada del Team Rocket,Bombe Risquée de la Team Rocket,Bomba Azzardata del Team Rocket,Uncommon,07-09-2026 19:46:52,
826053,2,Team Rocket's Venture Bomb,Destined Rivals,DRI,179,EX,Italian,,,,Regular,1000,,FUOCOBOMBA 006 - 16,Team Rockets Wagnisbombe,Bomba Arriesgada del Team Rocket,Bombe Risquée de la Team Rocket,Bomba Azzardata del Team Rocket,Uncommon,07-09-2026 19:47:03,
825944,3,Team Rocket's Zapdos,Destined Rivals,DRI,070,NM,Italian,,,,Regular,1000,,FUOCOBOMBA 006 - 16,Team Rockets Zapdos [Jamming Wing | Wicked Thunder],Zapdos del Team Rocket [Jamming Wing | Wicked Thunder],Électhor de la Team Rocket [Jamming Wing | Wicked Thunder],Zapdos del Team Rocket [Jamming Wing | Wicked Thunder],Rare,07-09-2026 20:26:37,
456538,3,Tool Scrapper,Rebel Clash,RCL,168,NM,Italian,,,,Regular,0.3,,FUOCOBOMBA 006 - 16,Ausrüstungsentsorger,Reciclaherramientas,Arrache-Outil,Scartaoggetti,Uncommon,07-09-2026 21:06:55,
725276,1,Town Store,Obsidian Flames,OBF,196,NM,Italian,,true,,ReverseHolo,1000,,FUOCOBOMBA 006 - 16,Stadtgeschäft,Centro Comercial,Town Store,Negozio Cittadino,Common,07-09-2026 20:46:19,
817247,1,Tyranitar,Journey Together,JTG,095,NM,Italian,,,,Regular,1000,,FUOCOBOMBA 006 - 16,Despotar [Daunting Gaze | Cracking Stomp],Tyranitar [Daunting Gaze | Cracking Stomp],Tyranocif [Daunting Gaze | Cracking Stomp],Tyranitar [Daunting Gaze | Cracking Stomp],Rare,07-09-2026 19:41:14,
